hammering hammer
brevet brevet
longing long
turn_around turn_around
ambush ambush
announcer announce
perseveration persevere
percussion percuss
countersignature countersign
egg egg
folk_dance folk_dance
foolery fool
conjurer conjure
luge luge
snarer snare
enragement enrage
outcropping outcrop
reverse reverse
honker honk
racket racket
solo solo
teasing tease
transmigration transmigrate
conveyor convey
topper top
emersion emerge
chelate chelate
inflection inflect
electroplater electroplate
supply supply
tiller tiller
wager wager
winder wind
barge barge
harpooner harpoon
innovator innovate
Wade wade
burthen burthen
acquirer acquire
countenance countenance
prize_fight prizefight
diet diet
acquiescence acquiesce
perch perch
fumbler fumble
spot_weld spotweld
raper rape
inset inset
compere compere
bottom bottom
letter_bomb letter_bomb
claret claret
rebutter rebut
headliner headline
referral refer
offerer offer
soaking soak
snack snack
hump hump
overprint overprint
snuffler snuffle
snapper snap
boycott boycott
slick slick
tour tour
moistener moisten
poleaxe poleaxe
lactation lactate
brush brush
nictitation nictitate
rationing ration
fashioning fashion
inch inch
infection infect
demonstration demonstrate
lick lick
salvage salvage
hauler haul
symmetry symmetrise
ionisation ionise
capital capitalize
inflexion inflect
snipping snip
ogler ogle
depressor depress
confidence confide
toggle toggle
farting fart
moan moan
tailor tailor
reclamation reclaim
wilting wilt
creep creep
wallpaper wallpaper
parole parole
peeler peel
re-creation re-create
leverage leverage
linkup link_up
tyrant tyrannize
freeing free
whipper whip
attack attack
wailer wail
admixture admix
mistrust mistrust
surmisal surmise
rivalry rival
elbowing elbow
enthronisation enthrone
firebomb firebomb
instillment instill
hunch hunch
breed breed
frown frown
scheduling schedule
assay assay
serenade serenade
stalker stalk
color colorize
financing finance
cobbler cobble
depopulation depopulate
spoilage spoil
brewer brew
divergency diverge
canker canker
insertion insert
grouch grouch
rhapsody rhapsodize
court court
frightening frighten
choreographer choreograph
decree decree
fright fright
coolant cool
expatriate expatriate
compound compound
medication medicate
directive direct
scrapper scrap
darning darn
turnery turn
tormenter torment
spurner spurn
hedge hedge
undoer undo
pricing price
commiseration commiserate
distillment distill
mend mend
envisioning envision
companion companion
decortication decorticate
debater debate
mortification mortify
blind blind
vouchee vouch
disinclination disincline
buccaneer buccaneer
clog clog
sublimate sublime
smut smut
average average
spiritualization spiritualize
suer sue
victualler victual
determinant determine
veneer veneer
yelling yell
prevarication prevaricate
primer prime
crawler crawl
affix affix
grantor grant
hang_gliding hang_glide
falloff fall_off
attendance attend
padding pad
functioning function
slaughterer slaughter
skunk skunk
shining shine
stress stress
surveying survey
cheater cheat
electrocution electrocute
chaperone chaperone
awe awe
snafu snafu
discharge discharge
irruption irrupt
bastard bastardize
invigorator invigorate
tailing tail
undertaking undertake
swaggerer swagger
vaporisation vaporise
nurse nurse
stabiliser stabilise
poke poke
inflation inflate
light light
overpayment overpay
nitrate nitrate
despisal despise
bean bean
towage tow
carpet carpet
revealing reveal
mystery mystify
stitcher stitch
egress egress
tumble tumble
twirl twirl
weightlifting weightlift
curling curl
chafe chafe
infliction inflict
stunting stunt
despoiler despoil
maintainer maintain
consignor consign
layer lay
tank tank
canalisation canalise
equator equate
counterplot counterplot
nitrogen nitrify
rhymer rhyme
victimization victimize
astringent astringe
unbalance unbalance
balancer balance
sum summate
death die
winker wink
development develop
unfastener unfasten
funnel funnel
equalization equalize
belly belly
puree puree
fighter fight
autoclave autoclave
sandblast sandblast
reshipment reship
healing heal
invocation invoke
fictionalization fictionalize
engrossment engross
jabbering jabber
retroversion retrovert
legislation legislate
get_together get_together
consultant consult
imprint imprint
cheque cheque
costume costume
sojourner sojourn
vibrancy vibrate
trailing trail
realization realize
promiser promise
enquiry enquire
smelter smelt
chanter chant
kick kick
soar soar
surf surf
dish dish
downer down
defervescence defervesce
pun pun
import import
observance observe
strum strum
mint mint
stable stable
portrayer portray
cooking cook
summoning summon
volley volley
highjack highjack
dip dip
pander pander
beautification beautify
humour humour
incineration incinerate
accelerator accelerate
access access
ion ionize
tobogganist toboggan
summation sum
lauder laud
desiccant desiccate
uplift uplift
sublease sublease
stinger sting
attitude attitudinise
automaton automatise
memorisation memorise
sweetener sweeten
rally rally
avower avow
dockage dock
Deliverer deliver
moisture moisturise
scrag scrag
wobbler wobble
spoonfeeding spoonfeed
filtrate filter
tomahawk tomahawk
creditor credit
mow mow
birder bird
rephrasing rephrase
merrymaking make_merry
pauper pauperize
confab confab
alphabetiser alphabetise
prosecution prosecute
kip kip
bicycler bicycle
retort retort
skimmer skim
purgation purge
convergence converge
signification signify
weapon weaponize
bombilation bombilate
flaw flaw
fixer fix
measuring measure
flimflam flim-flam
blessing bless
delegating delegate
parent parent
de-escalation de-escalate
tantalizer tantalize
rationale ratiocinate
haemagglutination haemagglutinate
counterpoint counterpoint
engineering engineer
blandishment blandish
croak croak
jester jest
nullifier nullify
prognostication prognosticate
carol carol
armor arm
stack stack
slate slate
adjustment adjust
plough plough
marcher march
rush rush
involution involve
nut nut
wonder wonder
stringer string
resurgence resurge
reentry re-enter
germination germinate
aviator aviate
particularization particularize
disarmer disarm
caroller carol
pulp pulp
skirmisher skirmish
replacement replace
accommodator accommodate
extrusion extrude
computation compute
innovation innovate
stretch stretch
toast toast
telecaster telecast
catena catenulate
crick crick
exhibit exhibit
protrusion protrude
despondency despond
value value
encouragement encourage
barbecue barbecue
tape_recording tape_record
flatterer flatter
dower dower
radiolocation radiolocate
parade parade
watcher watch
picturing picture
chip chip
dichotomisation dichotomise
plumb plumb
beak beak
rattle rattle
whacking whack
sterilisation sterilise
mountaineering mountaineer
crack-up crack_up
annunciator annunciate
rolling roll
galvanization galvanize
scourger scourge
siphon siphon
tourist tour
relegating relegate
watercolor watercolor
range range
tightening tighten
dullard dull
crime incriminate
fidget fidget
jeweler jewel
kneeling kneel
hirer hire
quantity quantify
debaser debase
keeper keep
abdication abdicate
unitisation unitise
oversupply oversupply
squatting squat
chattering chatter
defiance defy
optimum optimize
knife knife
conceiver conceive
actualisation actualise
fruition fruit
smile smile
gossiping gossip
macula maculate
liberator liberate
impressment impress
aggravation aggravate
disaffection disaffect
salutation salute
iodine iodise
magnitude magnify
palsy palsy
suffering suffer
hull hull
buoy buoy
garrotte garrotte
throne throne
camper camp
crystal crystallize
mistranslation mistranslate
preference prefer
precedent precede
corroding corrode
pocket pocket
conciliation conciliate
gaze gaze
invagination invaginate
bower bower
breach breach
baste baste
starter start
remit remit
inculcation inculcate
slash slash
touch-typist touch-type
filer file
jimmy jimmy
convergency converge
holdout hold_out
chauffeur chauffeur
hater hate
vermilion vermilion
taker take
credit credit
suction suck
blackleg blackleg
bulwark bulwark
invigilation invigilate
embezzler embezzle
exploration explore
student study
encapsulation encapsulate
remitment remit
cross-fertilization cross-fertilize
replica replicate
exporter export
jaw jaw
roller roll
braille braille
modulation modulate
pilot pilot
telecast telecast
disarmament disarm
airmailer airmail
constructor construct
specification specify
visitor visit
whistler whistle
reorientation reorient
occupation occupy
drum drum
gouger gouge
sinner sin
nip nip
slippage slip
floor floor
felicity felicitate
shell shell
lockup lock_up
cruiser cruise
smack smack
upgrade upgrade
vent ventilate
opener open
freelance freelance
harness harness
derangement derange
oiler oil
crimson crimson
grout grout
sifting sift
poniard poniard
shock shock
mourning mourn
suppressor suppress
jointer joint
shop shop
cocain cocainise
equivocator equivocate
pacifier pacify
repercussion repercuss
pricker prick
demonetization demonetize
cellphone cell_phone
qualifier qualify
consolation console
ballyhoo ballyhoo
redeployment redeploy
succorer succor
diffusor diffuse
surfeit surfeit
hyperextension hyperextend
rigidity rigidify
truckage truck
reiteration reiterate
frog frog
entailment entail
fighting fight
etymology etymologize
remainder remainder
retrospection retrospect
shag shag
tessera tessellate
savour savour
homology homologize
articulator articulate
approach approach
tunnel tunnel
eclipse eclipse
walkabout walk_about
maligner malign
blinker blinker
battler battle
clinch clinch
dismission dismiss
dab dab
priority prioritize
hypostatisation hypostatise
stage stage
disengagement disengage
subscription subscribe
quickstep quickstep
stripper strip
dampener dampen
translation translate
phone phonate
cap cap
falconry falcon
interjection interject
defloration deflower
mastication masticate
cavern cavern
clasp clasp
apology apologize
cuss cuss
walloping wallop
bebop bebop
sibilant assibilate
conglobation conglobate
smelling smell
unmasking unmask
conversation converse
treater treat
baby baby
installation install
lobbyist lobby
aerator aerate
dyke dyke
redisposition redispose
reapportionment reapportion
sympathizer sympathize
farm farm
formation form
hunter hunt
rallying rally
hulk hulk
animal animalize
suntan suntan
infuriation infuriate
twinge twinge
roving rove
lineup line_up
demineralization demineralize
transistor transistorize
misrepresentation misrepresent
buggery bugger
juggler juggle
smoother smooth
correlate correlate
takeover take_over
retrogression retrogress
looker look
pop pop
fastening fasten
benefaction benefact
metastasis metastasize
catcher catch
reconnaissance reconnoiter
exultation exult
contraction contract
interposition interpose
adsorption adsorb
character characterize
niggler niggle
rivet rivet
surpriser surprise
brigade brigade
delusion delude
coagulator coagulate
endurance endure
furrow furrow
scorer score
forgery forge
attachment attach
disassociation disassociate
gleaner glean
disadvantage disadvantage
comer come
profanation profane
negotiator negotiate
root root
concentrate concentrate
dilatation dilate
flurry flurry
systematiser systematise
thickening thicken
devolution devolve
colouring colour
overcapitalization overcapitalize
detour detour
sound sound
commuting commute
coif coif
hurt hurt
elevator elevate
privatization privatize
ignition ignite
gloss gloss
instructor instruct
easement ease
muckraker muckrake
reimposition reimpose
programing program
splice splice
actor act
confusion confuse
atomizer atomize
catalog catalog
cannibal cannibalize
subsidy subsidize
accreditation accredit
laugh laugh
lingerer linger
judgment judge
voluntary volunteer
stonewaller stonewall
conk conk
try try
checkmate checkmate
semen inseminate
changeover change_over
trading trade
amendment amend
discount discount
pledger pledge
transition transit
concession concede
implication implicate
contact contact
spreading spread
subtraction subtract
fractionation fractionate
give give
saddlery saddle
thump thump
ascendancy ascend
mover move
gardener garden
drift drift
discomposure discompose
round round
pressing press
effacement efface
allusion allude
monopoly monopolise
pig pig
cross-pollination cross-pollinate
tagalong tag_along
quoter quote
turning turn
snitcher snitch
sprinkler sprinkle
puddle puddle
nucleus nucleate
flotation float
intruder intrude
ink ink
knocker knock
toe toe
drive drive
shrieking shriek
nursing nurse
seed seed
caution caution
refrigerant refrigerate
warranter warrant
mould mould
seducer seduce
spitting spit
ill-treatment ill-treat
divide divide
clamber clamber
champion champion
editorial editorialize
march march
chiromancer chiromance
golf golf
spiritualisation spiritualise
backhand backhand
rooting root
deposition deposit
rarefaction rarefy
restatement restate
promulgation promulgate
stab stab
rampage rampage
con con
ulceration ulcerate
mutilator mutilate
ready ready
take-in take_in
worship worship
elision elide
smashing smash
popularizer popularize
cartwheel cartwheel
lard lard
shipping ship
second second
figurer figure
introject introject
blackout black_out
suture suture
parentage parent
tide tide
collector collect
bike bike
recompense recompense
hypnotiser hypnotise
mountaineer mountaineer
ping ping
raft raft
redefinition redefine
expiation expiate
permission permit
comment commentate
collimator collimate
breast breast
accretion accrete
fissure fissure
determent deter
foreclosure foreclose
distrust distrust
raveling ravel
vitaliser vitalise
stem stem
coward cower
circumscription circumscribe
resiliency resile
ordinance ordain
co-occurrence cooccur
tinkle tinkle
stippler stipple
tester test
discontentment discontent
planation plane
clack clack
depolarisation depolarise
refocusing refocus
interment inter
zipper zip
yearning yearn
authoriser authorise
rat rat
dissension dissent
trigger trigger
affixation affix
sashay sashay
commencement commence
indisposition indispose
sculpturer sculpture
involvement involve
pleaser please
revel revel
temperance temper
residence reside
memorial memorialize
lack lack
skiing ski
truck truck
flute flute
liquidizer liquidise
remarriage remarry
salaam salaam
pock pock
cheering cheer
conformation conform
questioner question
badgerer badger
converging converge
mythologisation mythologise
grandstander grandstand
respecter respect
asker ask
liquid liquify
propellor propel
factorization factor
crescendo crescendo
sequence sequence
cannonade cannonade
quantification quantify
hoot hoot
cup cup
fantasy fantasize
counter count
vagabond vagabond
pargetry parget
diagonalization diagonalize
circumvolution circumvolve
fondling fondle
incline incline
ruiner ruin
office officiate
wailing wail
crepe crepe
circulation circulate
silver_plate silver-plate
stance stand
ring ring
yielder yield
inductee induct
preemption preempt
co-optation co-opt
greenery green
water water
examination examine
luxuriation luxuriate
coverage cover
resident reside
insulant insulate
sigh sigh
poser pose
disjunction disjoin
summarisation summarise
cutter cut
pagan paganize
letter let
housekeeper housekeep
hug hug
winnow winnow
exterminator exterminate
exit exit
implementation implement
desperation despair
improvement improve
configuration configure
swirl swirl
consistency consist
photocopier photocopy
sign sign
quadruple quadruple
ad-lib ad-lib
bail bail
sweep sweep
fraternization fraternize
cannibal cannibalise
jerker jerk
appendage append
occlusion occlude
hawk hawk
shade shade
canal canalise
Mercer mercerize
philanderer philander
guarantee guarantee
charmer charm
remilitarization remilitarize
fitter fit
joust joust
smell smell
Google google
projection project
refrigeration refrigerate
pacification pacify
brainstorming brainstorm
slot slot
trudger trudge
detraction detract
hunt hunt
crushing crush
fluoridization fluoridize
mildew mildew
prayer pray
calligrapher calligraph
bushwhacker bushwhack
predicator predicate
savagery savage
twiner twine
tickle tickle
nutation nutate
reabsorption reabsorb
store store
commentary comment
wait wait
campaigner campaign
palpitation palpitate
shopping shop
eating eat
sewing sew
disfigurement disfigure
price price
bagger bag
verge verge
emotion emote
programming programme
equilibrium equilibrize
condescension condescend
tarnish tarnish
sack sack
strikeout strike_out
quenching quench
squabble squabble
secularization secularize
costumer costume
toucher touch
tampon tampon
roaster roast
tingle tingle
perpetration perpetrate
swallow swallow
idea ideate
codification codify
receiver receive
relinquishment relinquish
body body
blame blame
gyration gyrate
ride ride
confidant confide
break-in break_in
vascularization vascularize
disinterment disinter
muser muse
compaction compact
drier dry
cicatrix cicatrize
detention detain
sitting sit
replication replicate
commixture commix
reordering reorder
nagger nag
ferrying ferry
holder hold
crib crib
subluxation subluxate
gestation gestate
surcharge surcharge
reduction reduce
retaliation retaliate
aberrant aberrate
flirtation flirt
cartoonist cartoon
ammonium ammonify
gnawer gnaw
pleat pleat
sinker sink
hedger hedge
moon moon
rehearsal rehearse
grin grin
bowler bowl
strop strop
canopy canopy
epitome epitomize
shame shame
crooner croon
denudation denude
bitchery bitch
putter putt
white white
exploiter exploit
ruling rule
clamor clamor
channelisation channelise
ebb ebb
botcher botch
flirting flirt
award award
dangling dangle
union unionize
burner burn
gamble gamble
rehash rehash
wanter want
runaway run_away
operator operate
bugle bugle
pedicure pedicure
cleansing cleanse
flowing flow
transferrer transfer
utterance utter
revising revise
caricature caricature
exhibition exhibit
company company
make-peace make_peace
feeler feel
trespasser trespass
upset upset
advisory advise
disbandment disband
apperception apperceive
tariff tariff
perforation perforate
backfire backfire
subsistence subsist
offeror offer
format format
plating plate
approbation approve
sufferance suffer
disclosure disclose
probation probate
deputation depute
ruck ruck
reticulum reticulate
illumination illuminate
repulsion repulse
drivel drivel
settling settle
picnic picnic
abutter abut
gloating gloat
sniffle sniffle
shitting shit
vitalizer vitalize
face_lifting face-lift
till till
dispenser dispense
vituperation vituperate
precedence precede
imposition impose
remembrance remember
present present
television televise
Velcro velcro
communion commune
pluralisation pluralise
pollard pollard
inscription inscribe
mapping map
tread tread
slat slat
being be
quadrupling quadruple
vacuum vacuum
spinner spin
enumerator enumerate
tergiversation tergiversate
underestimation underestimate
swot swot
cost cost
grounder ground
quarry quarry
crusader crusade
dejection deject
park park
gargle gargle
penalisation penalise
mop mop
paraphrase paraphrase
dilation dilate
gumming gum
surveyor survey
resettlement resettle
enlistment enlist
arousal arouse
clipping clip
curl curl
pluck pluck
toiler toil
hem hem
parry parry
splotch splotch
concert concertise
contention contend
picnicker picnic
getup get_up
reconciler reconcile
transplanting transplant
intermission intermit
whirling whirl
rabbit rabbit
judge adjudicate
image image
industrialization industrialize
fester fester
profit profit
stroke stroke
subduer subdue
deliverance deliver
cricketer cricket
peeper peep
cave cave
energy energize
flip-flop flip-flop
stalemate stalemate
rationalization rationalize
severance sever
miniature miniaturise
stabilizer stabilize
reshuffle reshuffle
embezzlement embezzle
fingerprint fingerprint
instigator instigate
reaction react
prefiguration prefigure
giveaway give_away
crumb crumb
debarkation debark
seclusion seclude
boast boast
bump bump
burglary burglarize
guidance guide
notation notate
lampoon lampoon
action act
transposition transpose
publicist publicise
sinking sink
convert convert
arbitrament arbitrate
economy economize
finish finish
transporter transport
Xerox xerox
misconstruction misconstrue
peregrination peregrinate
mortar mortar
copyreader copyread
consigner consign
hedging hedge
subjection subject
merchandiser merchandise
index index
truncation truncate
tumefaction tumefy
reversion revert
wearing_away wear_away
running run
petrification petrify
thrower throw
mollycoddler mollycoddle
porter porter
wonderment wonder
quest quest
condenser condense
carter cart
quarter quarter
borrower borrow
connecter connect
avulsion avulse
pinpoint pinpoint
pulsing pulse
sleuth sleuth
monetization monetize
clothing clothe
trifler trifle
greening green
recalcitrance recalcitrate
grant grant
incitement incite
anagram anagram
maximisation maximise
breeder breed
casket casket
publicizing publicize
wrick wrick
catheterization catheterize
swig swig
weed weed
declarer declare
amusement amuse
rewriting rewrite
shimmer shimmer
certification certify
entanglement entangle
powder powderize
wiggle wiggle
seconder second
monopolizer monopolize
blister blister
drop drop
kibitzer kibitz
expropriation expropriate
idealization idealize
stria striate
printing print
filter filter
scouting scout
spiller spill
popper pop
arbitrator arbitrate
hollering holler
cyclostyle cyclostyle
jailor jail
surfing surf
greeter greet
scarf scarf
reenactor reenact
systematizer systematize
spray spray
subordinate subordinate
inquiring inquire
nitpicker nitpick
wattle wattle
coaction coact
rip-off rip_off
overexertion overexert
withering wither
hike hike
bleeding bleed
misalignment misalign
saunter saunter
tuning tune
hesitater hesitate
stabilization stabilize
swilling swill
flame flame
misreading misread
mine mine
cluster cluster
gift_wrapping gift-wrap
mediator mediate
ventilator ventilate
shell_stitch shell_stitch
pretermission pretermit
excision excise
laminate laminate
tessellation tessellate
romance romance
canal canalize
chair chair
fingering finger
postponer postpone
effusion effuse
conspiracy conspire
tarriance tarry
flooding flood
disambiguator disambiguate
ambulation ambulate
housing house
proselyte proselytize
entertainer entertain
miscreation miscreate
clocking clock
transcription transcribe
chain catenate
assuagement assuage
boater boat
defrayment defray
patent patent
watercolourist watercolour
plow plow
muddle muddle
pelting pelt
grader grade
neighbour neighbour
initial initial
withdrawal withdraw
roost roost
inclosure inclose
overtaking overtake
decimation decimate
expurgator expurgate
sonnet sonnet
stifler stifle
forage forage
understatement understate
variation vary
grade grade
slating slate
cohesion cohere
chuckle chuckle
theorizer theorize
condensate condense
cooker cook
pedaler pedal
abrogator abrogate
contestee contest
convertor convert
defoliation defoliate
coffin coffin
troller troll
enticement entice
vaulter vault
overburden overburden
capitalization capitalize
panic panic
seizing seize
misplay misplay
puke puke
succession succeed
distension distend
form form
proscription proscribe
fading fade
dissonance dissonate
accentuation accentuate
powderer powder
overflow overflow
curvet curvet
spurt spurt
bunt bunt
subjunction subjoin
vaunter vaunt
conflict conflict
savior save
purifier purify
salute salute
combat combat
rubberneck rubberneck
satiation satiate
cutout cut_out
visualization visualize
dampening dampen
indicant indicate
foxhunt foxhunt
obstructor obstruct
scamper scamper
birth birth
demarcation demarcate
developing develop
shadowing shadow
whip whip
approval approbate
excuser excuse
disbursal disburse
slime slime
amazement amaze
shielding shield
shaking shake
cybernation cybernate
embalmment embalm
signal signal
mensuration mensurate
ravage ravage
mobilisation mobilise
nurser nurse
pound pound
resort resort
vacillation vacillate
attainment attain
scheduler schedule
chiseller chisel
cross-dresser cross-dress
pigment pigment
horse_trading horse-trade
leveller level
shanghaier shanghai
knitter knit
chink chink
rattling rattle
write_up write_up
solder solder
kick_start kick-start
blocker block
murmuring murmur
programmer program
supersedure supersede
sieve sieve
fishing fish
coexistence coexist
subdivider subdivide
mock mock
rowing row
defibrillation defibrillate
rocker rock
iron iron
plank plank
standstill stand_still
apotheosis apotheosize
engagement engage
reprinting reprint
bunco bunco
embargo embargo
tosser toss
stew stew
miniaturization miniaturize
clangor clang
limiter limit
preexistence preexist
killer kill
comb-out comb_out
eyewitness eyewitness
searcher search
stutter stutter
humidity humidify
sightreader sightread
institution institutionalise
archaist archaise
tile tile
itching itch
counsellor counsel
agglomerate agglomerate
abstract abstract
reportage report
going go
haulage haul
choking choke
space_walk spacewalk
pairing pair
spot spot
recuperation recuperate
chemosorption chemisorb
honey honey
snake snake
guy guy
strong-armer strong-arm
fraternity fraternise
wound wound
inheritor inherit
suppression suppress
spewer spew
relaxation relax
dowery dower
horn horn
scare scare
equivocation equivocate
tone tone
materialisation materialise
orator orate
lisp lisp
libeler libel
alert alert
recurrence recur
aggression aggress
suppliant supplicate
casing case
drummer drum
perm perm
swab swab
applauder applaud
diversity diversify
lustrum lustrate
war war
enfolding enfold
click click
financier financier
pitch pitch
trespass trespass
poker poke
consistence consist
destabilization destabilize
apostate apostatize
monkey monkey
addict addict
push_back push_back
calling call
decrease decrease
oxide oxidise
earth earth
fitting fit
degustation degust
galvanizer galvanize
plyer ply
flasher flash
waxing wax
kite kite
juggle juggle
demonization demonize
vandal vandalise
overhaul overhaul
recorder record
avenger avenge
crier cry
calculation calculate
mistake mistake
tiler tile
sparkling sparkle
vitalisation vitalise
tugger tug
bellyacher bellyache
evaluation evaluate
positioning position
coil coil
slice slice
jaywalker jaywalk
stash stash
weightlifter weightlift
yawner yawn
enchanter enchant
interrogator interrogate
yelping yelp
dependency depend
syphon syphon
poacher poach
corduroy corduroy
profession profess
plagiarist plagiarize
weld weld
sacking sack
dissent dissent
aspirate aspirate
invalid invalid
lunch lunch
palliation palliate
spiel spiel
camp camp
trotter trot
rectifier rectify
communicator communicate
polarisation polarise
forgiver forgive
obliterator obliterate
exudate exudate
monition monish
switching switch
buy buy
flagellant flagellate
peddler peddle
webbing web
thinner thin
vaulting vault
hawker hawk
breakdown break_down
duel duel
cast cast
wrestling wrestle
satisfier satisfy
creation create
distemper distemper
plagiarism plagiarise
instigant instigate
lexicalization lexicalize
clangour clangour
shoal shoal
caucus caucus
glamorisation glamorise
arrival arrive
crusade crusade
scanner scan
sun sun
fluctuation fluctuate
supervisor supervise
repayment repay
subcontractor subcontract
imagination imagine
pavage pave
geyser geyser
flight flight
postage post
sorcery sorcerize
asphyxiation asphyxiate
assent assent
lockout lock_out
anathema anathematize
marbleization marbleize
disorganization disorganize
reassertion reassert
gravel gravel
fell fell
bonnet bonnet
rabbet rabbet
petition petition
gravity gravitate
minimization minimize
retiree retire
simmering simmer
Communion commune
slicing slice
collectivisation collectivise
offer offer
conditioning condition
snorter snort
circumvention circumvent
yodel yodel
pertinence pertain
foam foam
doom doom
recording record
grilling grill
underscore underscore
pry pry
crack crack
apotheosis apotheosise
connexion connect
purification purify
call-out call_out
lubricant lubricate
caw caw
subvocalizer subvocalize
implantation implant
broadcast broadcast
cradle cradle
fence fence
typesetter typeset
bacterium bacterize
standardizer standardize
recollection recollect
insult insult
clerking clerk
waltz waltz
rounder round
commission commit
semaphore semaphore
lagging lag
contortion contort
arriver arrive
induction induct
poster post
immobilizing immobilize
sunburn sunburn
ship ship
bearer bear
puncture puncture
harbourage harbour
machine_gun machine_gun
embroilment embroil
disturbance disturb
reunion reunite
covering cover
folding fold
flowering flower
believer believe
election elect
washup wash_up
weekender weekend
wearer wear
quip quip
nag nag
outlaw outlaw
resplendency resplend
ratter rat
ligation ligate
grower grow
player play
rushing rush
antagonism antagonise
decompressing decompress
contredanse contredanse
beeswax beeswax
propeller propel
quilt quilt
tormentor torment
revision revise
banishment banish
rerun rerun
lysogenization lysogenize
nauseant nauseate
robe robe
blackmailer blackmail
sellout sell_out
punt punt
exemption exempt
pan pan
immersion immerse
wine wine
twine twine
citric_acid citrate
anathema anathematise
sulphur sulphur
annulment annul
shedding shed
deadening deaden
indentation indent
discard discard
baby-sitter baby-sit
redistribution redistribute
handcraft handcraft
parallel parallel
elution elute
crackle crackle
condemnation condemn
mutiny mutiny
spool spool
dice dice
hemagglutination hemagglutinate
association associate
belt belt
spur spur
squealer squeal
spot-weld spotweld
waterproof waterproof
resolution resolve
outcrop outcrop
mounting mount
overlayer overlay
tantalization tantalize
saltation saltate
potterer potter
backslapper backslap
emigrant emigrate
pleasing please
stayer stay
injury injure
purple purple
mourner mourn
smirch smirch
throng throng
detestation detest
sanitization sanitize
netting net
participation participate
polish polish
soldiering soldier
absentee absent
terrorisation terrorise
conformist conform
brunch brunch
whelp whelp
maintenance maintain
roast roast
hissing hiss
Crown coronate
hold-down hold_down
compass compass
extortion extort
squandering squander
phosphorescence phosphoresce
uniting unite
web web
breakout break_out
tracer trace
waverer waver
jazz jazz
palpebration palpebrate
relay relay
motorboat motorboat
joint joint
chiromancy chiromance
frier fry
alphabetizer alphabetize
suffixation suffix
boogie boogie
crackdown crack_down
snuggle snuggle
acquittal acquit
conjury conjure
manicurist manicure
ballast ballast
dispatcher dispatch
discordance discord
compromise compromise
sufficiency suffice
speedup speed_up
dramatisation dramatise
sheller shell
jag jag
accent accentuate
landing land
carbon_dioxide carbonate
Revelation reveal
riding ride
dealings deal
lot lot
slouch slouch
nudge nudge
bulldog bulldog
merchandise merchandise
excogitator excogitate
sorrower sorrow
hone hone
scour scour
quotation quote
certificate certify
driveller drivel
sporulation sporulate
recall recall
riffle riffle
gradation gradate
waggle waggle
cheerer cheer
plodding plod
shellac shellac
inherence inhere
hypnosis hypnotise
brag brag
retroflection retroflex
repose repose
ammonification ammonify
knuckle knuckle
bath bath
aphorism aphorize
fawn fawn
stockist stock
decorator decorate
motivation motivate
weight weight
muggee mug
ranter rant
apparition appear
compositor compose
alkali alkalize
clam clam
spout spout
compounding compound
snitch snitch
tripling triple
scuffle scuffle
enthronement enthrone
tracing trace
apprentice apprentice
shover shove
rev rev
impediment impede
burn burn
subsidy subsidise
shrinkage shrink
hauling haul
furtherance further
aroma aromatise
calcimine calcimine
adherent adhere
naturalization naturalize
daub daub
peptization peptize
warming warm
divagation divagate
claimant claim
parcelling parcel
haggle haggle
sounder sound
fluoridation fluoridate
setting set
smear smear
vulcanization vulcanize
total total
betterment better
dope dope
gut gut
madder madder
wrong wrong
hindrance hinder
castigation castigate
cultivator cultivate
promenade promenade
slinger sling
caliper caliper
nailer nail
about-face about-face
ringing ring
signature sign
extent extend
threader thread
sentimentalization sentimentalize
juxtaposition juxtapose
cremation cremate
caller call
major major
shake-up shake_up
swinger swing
channelization channel
clincher clinch
parolee parole
breather breathe
estimation estimate
setback set_back
spawner spawn
washout wash_out
reassignment reassign
opinion opine
hoard hoard
ash ash
smoke smoke
takeaway take_away
layout lay_out
nolle_prosequi nolle_prosequi
label label
overuse overuse
hustler hustle
repeater repeat
employer employ
carouser carouse
aberrance aberrate
dropkick dropkick
overlapping overlap
waltzer waltz
chaser chase
vacationist vacation
croquet croquet
ripening ripen
groaner groan
racketeering racketeer
dehumanisation dehumanise
sauce sauce
wangler wangle
snorkel snorkel
dress dress
pettifoggery pettifog
purl purl
defender defend
repatriation repatriate
floodlight floodlight
warner warn
deriving derive
match match
relocation relocate
flogging flog
belly_dance belly_dance
hemstitching hemstitch
trample trample
dispersal disperse
fornication fornicate
infiltration infiltrate
followup follow_up
solderer solder
bunk bunk
stoker stoke
butyl butylate
quake quake
plate plate
put-down put_down
steamer steamer
slight slight
doctrine indoctrinate
demonisation demonise
conglomeration conglomerate
splat splat
smoker smoke
calculator calculate
overlook overlook
sensing sense
pumice pumice
combustion combust
intensification intensify
drinking drink
deportation deport
straining strain
chariot chariot
processing process
dissection dissect
disambiguation disambiguate
disowning disown
depicting depict
patency patent
sprain sprain
electioneering electioneer
floatation float
wreckage wreck
loather loathe
sling sling
festoonery festoon
double_crochet double_crochet
handcuff handcuff
reallocation reallocate
coalescency coalesce
jewel jewel
desire desire
team team
poaching poach
soliloquy soliloquize
winery wine
leap leap
motion move
milk milk
beef beef
riddance rid
impulsion impel
compulsion compel
undoing undo
cricket cricket
etiolation etiolate
rein rein
satire satirise
litigator litigate
dandy dandify
shark shark
decoction decoct
misapprehension misapprehend
stucco stucco
